host,ip,port,protocol,title,domain,country,city,link,org
219.143.3.115:3478,219.143.3.115,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
222.82.243.234:3478,222.82.243.234,3478,stun,,,CN,Changji,,Chinanet
60.247.57.6:3478,60.247.57.6,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
113.109.250.210:3478,113.109.250.210,3478,stun,,,CN,Guangzhou,,Chinanet
14.23.50.83:3478,14.23.50.83,3478,stun,,,CN,Guangzhou,,Chinanet
222.88.64.72:3478,222.88.64.72,3478,stun,,,CN,Luoyang,,Chinanet
61.183.83.34:3478,61.183.83.34,3478,stun,,,CN,Wuhan,,Chinanet
183.203.212.44:3478,183.203.212.44,3478,stun,,,CN,Yuncheng,,China Mobile communications corporation
14.103.168.215:3478,14.103.168.215,3478,stun,,,CN,Beijing,,China Telecom Group
218.205.185.34:3478,218.205.185.34,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
36.147.74.132:3478,36.147.74.132,3478,stun,,,CN,Honghe,,"China Mobile Communications Group Co., Ltd."
210.22.26.162:3478,210.22.26.162,3478,stun,,,CN,Shenzhen,,China Unicom Shenzen network
203.91.43.17:3478,203.91.43.17,3478,stun,,,CN,Guangzhou,,Shenzhen Information and Network Center
1.183.10.10:3478,1.183.10.10,3478,stun,,,CN,Baotou,,Chinanet
60.247.75.212:3478,60.247.75.212,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
182.242.225.150:3478,182.242.225.150,3478,stun,,,CN,Kunming,,Chinanet
114.255.189.29:3478,114.255.189.29,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
219.133.105.100:3478,219.133.105.100,3478,stun,,,CN,Shenzhen,,Chinanet
183.178.38.165:3478,183.178.38.165,3478,stun,,,CN,Hong Kong,,HK Broadband Network Ltd.
124.67.255.220:3478,124.67.255.220,3478,stun,,,CN,Hohhot,,CHINA UNICOM China169 Backbone
119.100.21.185:3478,119.100.21.185,3478,stun,,,CN,Huangshi,,Chinanet
183.251.148.254:3478,183.251.148.254,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
123.150.8.107:3478,123.150.8.107,3478,stun,,,CN,Tianjin,,ASN for TIANJIN Provincial Net of CT
183.162.198.157:3478,183.162.198.157,3478,stun,,,CN,Chuzhou,,Chinanet
202.181.172.181:3478,202.181.172.181,3478,stun,,,CN,Hong Kong,,HongKong Commercial Internet Exchange
111.75.167.94:3478,111.75.167.94,3478,stun,,,CN,Fuzhou,,Chinanet
27.191.199.91:3478,27.191.199.91,3478,stun,,,CN,Tangshan,,Chinanet
111.205.228.98:3478,111.205.228.98,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
112.44.230.148:3478,112.44.230.148,3478,stun,,,CN,Mianyang,,"China Mobile Communications Group Co., Ltd."
60.10.134.253:3478,60.10.134.253,3478,stun,,,CN,Langfang,,CHINA UNICOM China169 Backbone
36.110.57.169:3478,36.110.57.169,3478,stun,,,CN,Hangzhou,,China Networks Inter-Exchange
117.186.232.246:3478,117.186.232.246,3478,stun,,,CN,Shanghai,,"Shanghai Mobile Communications Co.,Ltd."
124.117.243.150:3478,124.117.243.150,3478,stun,,,CN,Changji,,Chinanet
124.117.243.238:3478,124.117.243.238,3478,stun,,,CN,Changji,,Chinanet
171.221.247.44:3478,171.221.247.44,3478,stun,,,CN,Chengdu,,Chinanet
219.129.9.60:3478,219.129.9.60,3478,stun,,,CN,Zhanjiang,,Chinanet
121.199.5.118:3478,121.199.5.118,3478,stun,,,CN,Hangzhou,,"Hangzhou Alibaba Advertising Co.,Ltd."
82.157.156.141:3478,82.157.156.141,3478,unknown,,,CN,Beijing,,Shenzhen Tencent Computer Systems Company Limited
111.198.158.96:3478,111.198.158.96,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
221.226.11.12:3478,221.226.11.12,3478,stun,,,CN,Nanjing,,Chinanet
210.76.0.20:3478,210.76.0.20,3478,stun,,,CN,Zhengzhou,,
222.90.75.86:3478,222.90.75.86,3478,stun,,,CN,Xi'an,,Chinanet
106.39.88.156:3478,106.39.88.156,3478,stun,,,CN,Changsha,,China Networks Inter-Exchange
42.247.86.132:3478,42.247.86.132,3478,stun,,,CN,Nanjing,,China Education and Research Network Center
218.20.201.8:3478,218.20.201.8,3478,stun,,,CN,Guangzhou,,Chinanet
218.92.65.142:3478,218.92.65.142,3478,stun,,,CN,Lianyungang,,Chinanet
119.48.16.130:3478,119.48.16.130,3478,stun,,,CN,Changchun,,CHINA UNICOM China169 Backbone
39.171.250.202:3478,39.171.250.202,3478,stun,,,CN,Shaoxing,,China Mobile communications corporation
116.236.116.27:3478,116.236.116.27,3478,stun,,,CN,Shanghai,,China Telecom Group
219.138.158.72:3478,219.138.158.72,3478,stun,,,CN,Qianjiang,,Chinanet
118.121.233.73:3478,118.121.233.73,3478,stun,,,CN,Guangyuan,,Chinanet
118.114.241.215:3478,118.114.241.215,3478,stun,,,CN,Chengdu,,Chinanet
124.65.98.46:3478,124.65.98.46,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
114.242.183.176:3478,114.242.183.176,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
117.174.153.148:3478,117.174.153.148,3478,stun,,,CN,Beijing,,"China Mobile Communications Group Co., Ltd."
223.71.228.210:3478,223.71.228.210,3478,stun,,,CN,Beijing,,China Mobile Communicaitons Corporation
117.135.202.22:3478,117.135.202.22,3478,stun,,,CN,Guiyang,,"China Mobile Communications Group Co., Ltd."
202.41.244.11:3478,202.41.244.11,3478,stun,,,CN,Beijing,,"3rd Floor, Wenbo Building, No.A2 Gaoyuan Street"
60.191.179.246:3478,60.191.179.246,3478,stun,,,CN,Taizhou,,Chinanet
222.171.137.145:3478,222.171.137.145,3478,stun,,,CN,Harbin,,Chinanet
221.209.152.249:3478,221.209.152.249,3478,stun,,,CN,Daqing,,CHINA UNICOM China169 Backbone
61.178.81.249:3478,61.178.81.249,3478,stun,,,CN,Lanzhou,,Chinanet
60.190.14.58:3478,60.190.14.58,3478,stun,,,CN,Ningbo,,Chinanet
116.172.234.235:3478,116.172.234.235,3478,stun,,,CN,Beijing,,CHINA UNICOM China169 Backbone
59.36.5.171:3478,59.36.5.171,3478,stun,,,CN,Dongguan,,Chinanet
58.251.145.92:3478,58.251.145.92,3478,stun,,,CN,Shenzhen,,China Unicom Shenzen network
124.115.247.229:3478,124.115.247.229,3478,stun,,,CN,Yulin,,Chinanet
122.5.48.26:3478,122.5.48.26,3478,stun,,,CN,Yantai,,Chinanet
122.224.88.137:3478,122.224.88.137,3478,stun,,,CN,Hangzhou,,Chinanet
123.177.16.202:3478,123.177.16.202,3478,stun,,,CN,Dalian,,China Telecom Next Generation Carrier Network
219.149.221.106:3478,219.149.221.106,3478,stun,,,CN,Changchun,,Chinanet
59.36.181.34:3478,59.36.181.34,3478,stun,,,CN,Dongguan,,Chinanet
219.159.132.146:3478,219.159.132.146,3478,stun,,,CN,Nanning,,Chinanet
124.117.210.2:3478,124.117.210.2,3478,stun,,,CN,Changji,,Chinanet
222.74.5.239:3478,222.74.5.239,3478,stun,,,CN,Hohhot,,Chinanet
61.142.239.44:3478,61.142.239.44,3478,stun,,,CN,Foshan,,Chinanet
58.248.40.132:3478,58.248.40.132,3478,stun,,,CN,Guangzhou,,China Unicom Guangzhou network
123.124.189.13:3478,123.124.189.13,3478,stun,,,CN,Beijing,,China Unicom Beijing Province Network
1.203.92.140:3478,1.203.92.140,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
58.222.209.226:3478,58.222.209.226,3478,stun,,,CN,Taizhou,,Chinanet
114.141.166.164:3478,114.141.166.164,3478,stun,,,CN,Shanghai,,"Shanghai Information Network Co.,Ltd."
61.183.129.243:3478,61.183.129.243,3478,stun,,,CN,Wuhan,,Chinanet
27.188.61.29:3478,27.188.61.29,3478,stun,,,CN,Handan,,Chinanet
222.85.201.40:3478,222.85.201.40,3478,stun,,,CN,Guiyang,,Chinanet
61.150.78.141:3478,61.150.78.141,3478,stun,,,CN,Weinan,,Chinanet
219.143.254.41:3478,219.143.254.41,3478,stun,,,CN,Beijing,,China Networks Inter-Exchange
113.110.43.248:3478,113.110.43.248,3478,stun,,,CN,Jieyang,,CHINATELECOM Guangdong province Zhongshan 5G network
218.30.67.224:3478,218.30.67.224,3478,stun,,,CN,Beijing,,China Telecom Group
116.236.48.34:3478,116.236.48.34,3478,stun,,,CN,Shanghai,,China Telecom Group
218.2.119.142:3478,218.2.119.142,3478,stun,,,CN,Nanjing,,Chinanet
223.100.149.167:3478,223.100.149.167,3478,stun,,,CN,Dalian,,China Mobile communications corporation
47.243.121.75:3478,47.243.121.75,3478,stun,,,CN,Hong Kong,,"Alibaba US Technology Co., Ltd."
58.251.155.7:3478,58.251.155.7,3478,stun,,,CN,Shenzhen,,China Unicom Shenzen network
